xi,yi,zi,Syy,Vx,Vy,aid,step
47,20,11,0.0,-0.178983,-5.23518,[367231],0
47,53,11,0.0,0.11319500000000005,5.15859,[521027 463967],0
47,61,8,0.0,-0.644767,4.344436,[351814 351813],0
48,33,11,0.0,-4.65634,4.03845,[984682],0
49,56,11,0.0,1.4743,-6.75509,[491628],0
50,11,11,0.0,0.587083,-6.37116,[922282],0
51,10,11,0.0,0.09557766666666663,-4.442196666666667,[271831 946869 923784],0
51,16,11,0.0,-1.0807795,-4.17839,[151093 151092],0
51,35,11,0.0,-2.316688,4.106625,[443703 187478],0
51,40,11,0.0,-3.4732,5.11006,[72468],0
51,61,0,0.0,-0.5404043333333334,-4.461853333333333,[474875 474876 474874],0
52,25,11,0.0,-1.33313625,-3.9881835,[952703 952704 952701 952702],0
52,40,11,0.0,2.0318964999999998,4.985,[13247 72467],0
52,57,11,0.0,-3.40927,-5.37922,[409253],0
52,59,11,0.0,-1.805621,5.08621,[726246 451667],0
53,30,11,0.0,1.2220171,4.18807,[369985 369984],0
54,5,11,0.0,0.74811,-4.57621,[841257],0
54,21,11,0.0,-1.03225,-5.79176,[328958],0
54,45,11,0.0,2.67443,-4.421883,[699927 699926],0
54,61,7,0.0,0.13190179999999999,5.600663333333333,[560841 560843 560842],0
55,18,11,0.0,-1.06237,-5.69755,[739289],0
55,36,11,0.0,-1.0802133333333332,-5.51377,[111687 111688 111698],0
55,61,4,0.0,-0.9703641,-4.00005,[895878 509200],0
56,41,11,0.0,-3.7936,7.27389,[707817],0
56,61,9,0.0,-3.787135,-4.174955499999999,[572466 572465],0
57,0,11,0.0,-0.84621,-4.31352,[493154],0
57,13,11,0.0,-0.5651315,4.758649999999999,[900499 436175],0
57,24,11,0.0,-0.253531,5.31708,[802094],0
57,25,11,0.0,-1.99719,-8.99781,[13467],0
57,30,11,0.0,-0.800897,-4.98954,[369953],0
57,39,11,0.0,-0.3135865,-5.25821,[498270 131535],0
57,50,11,0.0,3.4743033333333333,-4.0208140000000006,[835970 645770 835975],0
58,28,11,0.0,0.49426000000000014,-4.68937,[348849 348847],0
58,35,11,0.0,-0.683018,7.95347,[716696],0
58,61,4,0.0,0.11374666666666682,4.4247733333333334,[711682 181888 711681],0
59,3,11,0.0,2.92554,-4.43083,[495899],0
59,22,11,0.0,-0.843521,-5.20388,[802068 802071],0
59,61,11,0.0,-3.13253,5.71428,[978009],0
60,39,11,0.0,1.858003,-7.084655000000001,[131511 869803],0
60,58,11,0.0,-4.99031,4.657185,[895402 672126],0
61,28,11,0.0,-0.611259,-5.53365,[673981],0
61,34,11,0.0,0.840269,5.04954,[434121],0
62,15,11,0.0,-0.9389365000000001,3.99795,[510396 510395],0
62,39,11,0.0,-6.13155,6.39981,[870057],0
63,1,11,0.0,-0.354383,-4.81773,[270741],0
63,8,11,0.0,-2.530945,-3.9928049999999997,[768207 768209],0
64,11,11,0.0,-2.97575,-4.6667,[580721],0
64,12,11,0.0,4.59522,5.72328,[691318],0
64,13,11,0.0,-0.750463,8.30411,[691319],0
64,38,11,0.0,-0.052509999999999835,-4.407310000000001,[ 30500 523673],0
65,2,11,0.0,-0.5822200000000002,4.052225,[931137  75910],0
65,41,11,0.0,1.56601,-6.95487,[698055],0
65,56,11,0.0,4.88464,-4.33793,[572854],0
65,61,3,0.0,1.81983,-6.92747,[415388],0
66,21,11,0.0,2.34117,6.31856,[260520],0
66,41,11,0.0,-4.80373,5.36772,[32591],0
66,56,11,0.0,0.749878,-6.3194,[672084],0
67,2,11,0.0,-0.79508,6.0,[63254],0
67,10,11,0.0,-4.02694,4.99044,[288267],0
67,16,11,0.0,1.85349,7.55602,[341889],0
67,46,11,0.0,0.5007736,4.325805000000001,[191515 191514],0
67,57,11,0.0,3.2828,-4.45694,[370766],0
68,8,11,0.0,-1.21892,5.381295,[204263 204264],0
68,10,11,0.0,0.5953550000000001,5.38962,[288256 288255],0
68,15,11,0.0,2.18264,6.49737,[195136],0
68,24,11,0.0,-0.8842935,-5.04422,[431533 431535],0
68,45,11,0.0,3.88382,-4.05586,[817963],0
69,35,11,0.0,-0.35262,5.44389,[693864],0
69,45,11,0.0,-0.844556,4.14896,[261500],0
69,47,11,0.0,-0.0836687,-4.58152,[878195],0
70,19,11,0.0,2.4496700000000002,4.12376,[143505 143504],0
70,26,11,0.0,3.027226666666666,-4.3814,[198438 198143 198437],0
70,34,11,0.0,-0.38551349999999995,4.2960650000000005,[467906 467907],0
70,50,11,0.0,-0.6542745,-4.5397549999999995,[364690 216424],0
71,7,11,0.0,4.26207,7.64919,[204289],0
71,11,11,0.0,1.93054,-5.94479,[367568],0
71,24,11,0.0,0.231001,4.10853,[119804],0
72,40,11,0.0,-0.1354700000000001,-4.051285,[396528  92722],0
73,4,11,0.0,-0.54744,4.58413,[164769 164768],0
73,61,11,0.0,3.69545,-4.4683,[530528],0
74,18,11,0.0,-6.01479,-4.47501,[78030],0
74,29,11,0.0,0.5540749999999999,4.75826,[202266 721593],0
75,4,11,0.0,-0.0822517,5.33373,[164694],0
75,26,11,0.0,0.498776,-4.96288,[243115],0
75,35,11,0.0,3.053,4.40548,[585790],0
75,56,11,0.0,-5.29502,4.76331,[979181],0
76,12,11,0.0,-2.6035105,5.5074000000000005,[837443 837444],0
76,40,11,0.0,1.89626,5.27802,[36890],0
76,41,11,0.0,-5.2743,4.36643,[325888],0
76,61,2,0.0,1.68164,-3.9754,[630140],0
77,52,11,0.0,-0.5949200000000001,6.96205,[540944 540943],0
77,60,11,0.0,0.223781,-6.08285,[530572],0
78,14,11,0.0,-2.17941,4.2314,[607401],0
78,20,11,0.0,-0.0016650000000000276,4.795529999999999,[503872 503871],0
78,23,11,0.0,4.88636,-5.55242,[241469],0
78,29,11,0.0,-2.05776,6.1907,[929976],0
78,44,11,0.0,-5.31816,-4.56004,[878961],0
78,48,11,0.0,1.14248,-4.7048,[787997],0
78,55,11,0.0,1.3113830000000002,-5.488815,[560508 560510],0
78,57,11,0.0,-1.51898,4.28736,[828946],0
78,61,0,0.0,-1.56098,-5.1465,[630341],0
79,49,11,0.0,-0.09394500000000017,-4.16007,[825592 825591],0
79,54,11,0.0,0.389455,4.74357,[561041 561040],0
79,56,11,0.0,1.88943,4.91704,[828940],0
80,1,11,0.0,4.08573,4.22204,[672217],0
80,12,11,0.0,0.229896,4.27327,[969487],0
80,17,11,0.0,-6.32768,4.95788,[371079],0
80,35,11,0.0,2.47414,-7.76426,[785147],0
82,21,11,0.0,0.0400131,6.23883,[401196],0
82,50,11,0.0,0.263832,4.42463,[154488],0
82,59,11,0.0,0.119417,-6.56192,[218494],0
83,18,11,0.0,4.140815,4.068425,[141987 431652],0
83,35,11,0.0,-2.60923,-4.42982,[3613],0
83,52,11,0.0,-1.90286,-5.10091,[171957],0
84,0,11,0.0,-4.591805,-5.22284,[672183 672182 189117 189116],0
84,14,11,0.0,2.29855,-4.711075,[905651 905652],0
84,21,11,0.0,-1.72349,5.71788,[401212],0
84,32,11,0.0,2.53091,-7.17915,[77508],0
85,6,11,0.0,3.26015,5.34722,[86039],0
85,10,11,0.0,-1.85739,-5.96445,[277611],0
85,13,11,0.0,-4.05447,6.22155,[18412],0
85,53,11,0.0,2.268495,-7.57903,[560560 560562],0
85,61,0,0.0,0.6873100000000001,5.0471449999999995,[967812 967814],0
86,16,11,0.0,0.0808135,4.84998,[118036],0
86,30,11,0.0,-1.2956185,-4.50928,[58367 58365],0
