step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi
71,16550.0,244416,535.0,-102.16,-18.5604,-0.784865,-5.16323,-237.157,237.157,-35.475,35.475,-10.944,10.944
72,16600.0,385280,687.0,-103.809,-17.7992,-1.06732,-5.19568,-239.251,239.251,-35.183,35.183,-10.943,10.943
73,16650.0,244416,535.0,-103.148,-18.0741,-0.901107,-5.36346,-241.362,241.362,-34.894,34.894,-10.934,10.934
74,16700.0,967744,986.0,-61.6671,-34.4194,-6.72997,-7.92417,-243.488,243.488,-34.606,34.606,-10.934,10.934
75,16750.0,287040,586.0,-79.8517,-27.6304,-4.29124,-4.99723,-245.63,245.63,-34.321,34.321,-10.931,10.931
76,16800.0,908032,971.0,-64.8577,-33.0188,-1.45145,-5.14943,-247.789,247.789,-34.037,34.037,-10.938,10.938
77,16850.0,475520,761.0,-98.3178,-20.4043,-6.88229,-4.9171,-249.964,249.964,-33.756,33.756,-10.936,10.936
78,16900.0,475520,761.0,-99.9191,-19.7949,-6.3936,-5.40459,-252.156,252.156,-33.477,33.477,-10.926,10.926
79,16950.0,475520,761.0,-101.072,-18.8106,-8.41476,-5.47053,-254.365,254.365,-33.201,33.201,-10.919,10.919
80,17000.0,475520,761.0,-101.56,-18.9736,-7.53761,-5.24952,-256.591,256.591,-32.926,32.926,-10.922,10.922
81,17050.0,475520,761.0,-100.799,-19.0984,-7.12387,-5.31407,-258.834,258.834,-32.653,32.653,-10.925,10.925
82,17100.0,137920,378.0,-54.2546,-57.8008,5.33058,-5.28618,-73.318,73.318,-72.56,72.56,-10.91,10.91
83,17150.0,137920,378.0,-55.2218,-56.3897,5.1558,-5.22521,-74.693,74.693,-72.279,72.279,-10.907,10.907
84,17200.0,137920,378.0,-55.6445,-55.6949,4.5177,-5.92702,-76.069,76.069,-71.99,71.99,-10.913,10.913
85,17250.0,137920,378.0,-57.8699,-54.3175,5.95635,-5.374,-77.446,77.446,-71.695,71.695,-10.897,10.897
86,17300.0,137920,378.0,-57.7448,-54.2388,7.36009,-5.26553,-78.824,78.824,-71.393,71.393,-10.909,10.909
87,17350.0,103040,315.0,-67.1574,-62.7321,2.7703,-5.66967,-80.203,80.203,-71.085,71.085,-10.906,10.906
88,17400.0,103040,315.0,-67.9923,-61.2422,2.59111,-4.89785,-81.583,81.583,-70.771,70.771,-10.906,10.906
