xi,yi,zi,Syy,Vx,Vy,aid,step
74,24,11,0.0,-4.949795,-0.701395,[742384 742383],0
74,31,11,0.0,5.671340000000001,-0.5131999999999999,[256012  71910],0
75,5,11,0.0,4.3608,0.929659,[151352],0
75,36,11,0.0,-5.538626666666667,-2.8182216666666666,[698137 698136 698138],0
75,54,11,0.0,-4.0032974999999995,0.6745616666666668,[279902 279906 279907],0
75,56,11,0.0,-5.29502,4.76331,[979181],0
75,61,1,0.0,4.49483,-2.73705,[902149],0
75,61,9,0.0,6.04978,2.25,[629596],0
76,14,11,0.0,-4.47951,0.1727849999999999,[514711 514712 514710 514713],0
76,17,11,0.0,5.05956,1.83718,[295404],0
76,41,11,0.0,-5.2743,4.36643,[325888],0
76,61,11,0.0,-6.62182,0.0757075,[75207],0
77,5,11,0.0,5.10732,0.888963,[151328],0
77,43,11,0.0,-7.10744,-2.80678,[799855],0
77,61,3,0.0,-4.45442,1.74698,[113628],0
78,2,11,0.0,3.974535,-1.2888199999999999,[164732 164733],0
78,23,11,0.0,4.88636,-5.55242,[241469],0
78,39,11,0.0,-4.98238,-2.44986,[963558],0
78,40,11,0.0,-6.82856,0.36606,[956711],0
78,44,11,0.0,-5.31816,-4.56004,[878961],0
78,53,11,0.0,-4.73045,-0.799187,[711129 711128 711131],0
78,58,11,0.0,4.83841,-2.95922,[701364],0
78,61,10,0.0,-3.9741883333333337,-0.347731,[981649 981647 981648 820934 981651 981650],0
79,3,11,0.0,6.41026,-0.14083,[584614 584615],0
79,4,11,0.0,4.26172,0.513726,[511446],0
79,12,11,0.0,-5.286225,-2.80492,[411475 411476],0
79,18,11,0.0,-6.28276,0.78574,[904352],0
79,34,11,0.0,-4.05401,-3.17093,[149833],0
79,52,11,0.0,-4.18722,-2.07596,[945573],0
79,53,11,0.0,-4.995585,-2.27203,[392680 392681],0
80,1,11,0.0,4.08573,4.22204,[672217],0
80,11,11,0.0,6.07795,1.58027,[277573],0
80,17,11,0.0,-6.32768,4.95788,[371079],0
80,45,11,0.0,6.54325,-0.0264352,[327354],0
81,16,11,0.0,4.46568,-3.43336,[894409],0
81,22,11,0.0,4.161246666666667,-1.2288866666666667,[811234 811232 811236],0
81,31,11,0.0,4.83037,-2.06424,[885842],0
82,30,11,0.0,-4.25796,-0.824743,[885831],0
82,37,11,0.0,5.38713035,3.9297450000000005,[606788 606789],0
82,56,11,0.0,4.0402325,1.2548419499999999,[859718 859723 859721 859720],0
82,61,10,0.0,-4.108998333333333,-1.2166046666666666,[743395 743396 743397],0
83,18,11,0.0,4.140815,4.068425,[141987 431652],0
83,50,11,0.0,-5.359154666666666,2.8431933333333337,[272372  17297 272371],0
83,58,11,0.0,5.0607050000000005,-0.989873,[153165 153164],0
83,61,1,0.0,6.361313333333334,1.1280376666666665,[732457 286193 732456],0
84,0,11,0.0,-4.591805,-5.22284,[672183 672182 189117 189116],0
84,19,11,0.0,4.79689,-2.27841,[431657],0
84,24,11,0.0,-5.2526,2.94178,[516272],0
84,29,11,0.0,4.20225,-2.21964,[101285],0
84,36,11,0.0,4.28514,-0.31732499999999997,[396634 396633],0
84,61,3,0.0,4.192785000000001,-0.5611605,[285740 285741],0
85,13,11,0.0,-4.05447,6.22155,[18412],0
85,21,11,0.0,5.336845,1.7721550000000001,[401214 401215],0
85,61,7,0.0,4.57944,-1.93664,[253494],0
85,61,9,0.0,5.027915,2.56394,[786129 786128],0
86,7,11,0.0,-4.31656,-2.0554550000000003,[315925 188425],0
86,38,11,0.0,-6.222155,0.790996,[70802 70801],0
86,50,11,0.0,4.87521,0.757887,[540834],0
86,60,11,0.0,4.48994,1.1096806666666668,[152044 152047 152048],0
86,61,5,0.0,6.350155,-2.2142749999999998,[165439 544551],0
87,10,11,0.0,4.65099,-2.50198,[833842],0
87,31,11,0.0,-7.33903,-2.27738,[310247],0
87,40,11,0.0,3.98154,7.83746,[328528],0
87,49,11,0.0,5.9897,3.17176,[677156],0
87,53,11,0.0,4.74238,-2.13246,[560581],0
88,14,11,0.0,5.191775,3.504845,[503533 503532],0
89,55,7,0.0,6.41604,-1.50493,[623068],0
89,55,9,0.0,-5.52724,-0.597766,[27194  3214  3215  3213],0
90,25,11,0.0,-5.33301,5.28752,[177863],0
90,39,11,0.0,4.60811,0.9902799999999999,[681424 328100],0
91,51,11,0.0,-8.72621,-4.28109,[621810],0
92,7,11,0.0,8.21523,0.380834,[833799],0
92,44,11,0.0,-5.77663,-4.15622,[447559],0
93,6,11,0.0,5.1163,0.524475,[79048],0
93,17,11,0.0,-4.11291,4.28405,[804166],0
93,26,11,0.0,4.24632,-6.40472,[539077],0
94,1,11,0.0,-4.75649,2.99605,[387771],0
94,9,11,0.0,4.132785,0.8816845000000001,[959359 379647],0
94,19,11,0.0,4.02724,3.2426115,[209534 399691],0
94,26,11,0.0,4.6456475,-1.39660425,[550547 539084 539085 539086],0
94,28,11,0.0,5.98008,1.4711,[533140],0
94,29,11,0.0,4.11178,4.28373,[911462],0
94,46,3,0.0,4.79545,-3.07379,[321312],0
95,5,11,0.0,-4.70964,0.9862925,[128443 406044],0
95,16,11,0.0,5.09758,0.268552,[401491],0
95,43,4,0.0,-4.5487649999999995,-1.3056325,[725515 725516],0
95,44,2,0.0,-5.19783,4.56132,[671484],0
96,36,11,0.0,4.13611,11.2008,[98049],0
97,12,11,0.0,-4.59791,1.10822,[137927],0
97,24,11,0.0,-7.21335,0.0261863,[500671],0
97,27,11,0.0,-5.40076,0.462297,[713008],0
97,40,2,0.0,-5.44299,-0.261422,[316926],0
98,5,11,0.0,4.59583,-3.49203,[79116],0
98,8,11,0.0,-7.01853,5.52775,[486046],0
98,15,11,0.0,5.01735,-0.380285,[401472],0
99,5,11,0.0,5.4715,-0.519632,[79114],0
99,35,11,0.0,-5.57222,5.81706,[98081],0
99,36,9,0.0,-5.00331,2.60697,[738123],0
100,4,11,0.0,-4.40861,-1.7341003333333334,[806840 806839 604991],0
100,19,11,0.0,-4.83956,1.09498,[843601],0
100,27,11,0.0,4.74729,2.49516,[231564],0
100,32,11,0.0,5.067285,0.3002699999999999,[ 33395 876333],0
101,8,11,0.0,-5.051745,0.510741,[921254 921253],0
101,32,7,0.0,6.03482,-1.72551,[738916 738915],0
101,32,8,0.0,-4.52888,2.50743,[964343],0
101,32,9,0.0,-4.8205100000000005,-4.975355,[963727 963728],0
102,9,11,0.0,6.7274,7.87478,[666062],0
102,18,11,0.0,-4.4988150000000005,0.7165949999999999,[693083 600930],0
102,27,11,0.0,-6.34812,-1.45979,[231546],0
102,30,2,0.0,-6.17937,6.22295,[396765],0
103,11,11,0.0,7.0582,-0.362256,[83314],0
103,27,11,0.0,7.27369,-0.608763,[231425],0
104,26,10,0.0,5.46408,2.71654,[310109],0
105,1,11,0.0,-5.36687,-2.51329,[47316],0
105,2,11,0.0,-5.15683,-3.59537,[14624],0
106,6,11,0.0,3.97912,2.39384,[682963 682965],0
106,18,11,0.0,4.22008,-6.10959,[600898],0
108,16,11,0.0,4.98873,-0.396722,[34932],0
109,16,1,0.0,-7.84229,3.95603,[352480],0
110,12,11,0.0,-4.28799,3.26044,[475684],0
112,0,11,0.0,4.076246,-1.9705615,[951290 951291],0
114,7,8,0.0,4.43965,-0.18132,[175619],0
114,7,9,0.0,4.40055,-1.26503,[904689],0
115,5,2,0.0,5.38205,-1.47075,[920881],0
115,5,7,0.0,8.96551,1.44866,[207123],0
117,0,3,0.0,4.038984,-1.274762,[803488 803489 752205],0
117,1,5,0.0,4.19439,1.74642,[420889],0
117,1,9,0.0,-4.34435,3.07371,[968503],0
1,57,8,-13.512325,-4.066314500000001,1.3242072500000002,[ 85739  85740  85738 877621],1
2,55,1,-7.697899999999999,-4.470025,-4.431275,[829042 311277],1
2,55,11,29.9169,-4.43979,0.59486,[27128],1
3,54,11,-36.8656,-4.41254,-1.80483,[384516],1
5,49,7,-17.7209,3.98973,-1.98305,[564399],1
5,54,11,-57.179833333333335,-4.174306666666666,3.245973333333333,[798941 515533  98418],1
6,47,9,-1.33276,4.89917,3.0028699999999997,[ 94293 154625],1
6,49,11,11.9209,4.82937,-2.59426,[621818],1
6,53,11,-61.5573,5.88521,5.75019,[384494],1
7,51,11,-27.1944,-4.33858,-1.03158,[897714],1
10,52,11,37.6707,-5.60224,-0.959554,[515680],1
10,54,11,4.05424,5.38967,-0.149297,[983408],1
10,58,11,-16.2245,-5.33048,-4.80084,[968135],1
10,60,11,-24.7387,5.09863,-1.5635,[908812],1
11,38,11,-49.868,5.34888,-0.210365,[854852],1
11,41,11,-13.634,-6.5265,0.854343,[409787],1
11,50,11,13.728650000000002,4.915893333333333,1.3530433333333336,[897748 977103 977102],1
13,34,6,-46.98675,-4.34509,-0.4729205,[86721 86720],1
13,34,10,5.90165,-4.0178775,0.261598,[641538 641539 641535 641536],1
13,36,11,-5.7023814999999995,4.2996125,0.4264105,[680074 302282 680072 302283],1
13,45,11,36.8593,7.18271,1.28681,[677013],1
14,32,11,-60.8831,4.48368,-3.64277,[876347],1
14,36,11,-15.1336,-4.356955,1.0577025,[873236 302284],1
14,59,11,10.92545,-4.497719999999999,-0.18696600000000002,[245706 611453],1
15,30,0,-17.9538,-4.22432,-4.45663,[928929],1
15,39,11,13.8321,6.46406,-5.12853,[480347],1
16,42,11,24.392,-5.09133,0.800931,[35164],1
16,44,11,26.2901,-7.4409,0.588672,[280132],1
16,57,11,-84.5524,5.25778,-0.13286,[968377],1
17,26,0,-17.1155,-7.66614,0.75606,[231533],1
17,30,11,-40.4222,4.09587,3.58953,[928942],1
19,38,10,2.309464461538461,-4.069390692307692,0.6862195384615385,"[226785 452155 452158 452156 452160 452161 452159 452162 452157 480379
 452163 671399 471193]",1
20,21,11,-70.8915,6.77162,-1.24612,[500571],1
20,33,11,-31.736,-6.58585,4.40497,[875781],1
20,39,11,0.19516,4.3622,-6.37813,[104860],1
20,44,11,-43.58535,4.25886,2.1581675,[236131 856493],1
